seed,sample_index,true_class,pred_class,confidence,image_path,caption,attention_rollout_file,cross_attention_token_file
13,10,dressy,conservative,0.09866338223218918,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\dressy\114042969_o3.jpg,"The image features a beautiful woman wearing a red dress with a thigh-high slit, standing in a large, well-lit room. She is posing confidently and elegantly for the camera, showcasing her outfit's stylish design. The red dress, combined with the sunlit setting, gives the overall aesthetic a warm and vibrant feel. The woman's posture and the room's ambiance contribute to the contemporary and sophisticated style.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_10_true_dressy_pred_conservative_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_10_true_dressy_pred_conservative_cross_attention_tokens.csv
13,11,mode,retro,0.09837483614683151,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\mode\72ff019ed351836b98fc68e997b4861b.jpg,"The image depicts a woman dressed in a combination of modern and classic styles. She is wearing black leather pants, which give her a bold and edgy look. Her white shirt adds a touch of simplicity to her overall appearance. On her feet, she is wearing black boots, which complement her outfit.

As for her accessories, she is carrying a handbag, which is a common fashion accessory to complete her look. Additionally, she is wearing a pair of sunglasses, possibly to protect her eyes from the sun or to add a touch of glamour to her look. The combination of leather, white, black, and sunglasses creates a stylish and confident appearance.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_11_true_mode_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_11_true_mode_pred_retro_cross_attention_tokens.csv
13,12,natural,retro,0.09013254195451736,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\natural\91W8ATG0hvL.jpg,"The woman in the image is wearing a long-sleeve outfit, which includes a black and white sweater and a blue jean skirt. She has a happy expression and is standing in front of a backdrop or a wall. The overall aesthetic is casual yet stylish, with the black and white sweater providing a more elegant touch to the outfit. The blue jean skirt suggests a laid-back, comfortable feel. The woman is wearing blue shoes, which add a pop of color to the otherwise predominantly black and white outfit. The combination of these elements creates a visually appealing and fashionable look.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_12_true_natural_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_12_true_natural_pred_retro_cross_attention_tokens.csv
13,13,girlish,retro,0.09210624545812607,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\girlish\824c275f-907c-4043-b531-423df4a6135b.jpg,"In this fashion image, a woman is wearing a jacket and a dress that features a plaid pattern. She is standing against a wall and posing for the picture. The woman's attire, which includes a scarf, a jacket, and a dress, contributes to the stylish and chic aesthetic of the scene. The choice of clothing items and colors in the outfit further accentuate the woman's elegant appearance.

The clothing items in the image help classify the style category as a mix of sophisticated and casual, with the jacket adding a touch of formality and the dress showcasing a more feminine and flirty aspect. The plaid pattern on the dress adds an interesting and unique detail to her outfit, further emphasizing her personal style. Overall, the image is a captivating representation of contemporary fashion, showcasing the woman's unique sense of style and her way of combining different clothing items to create a visually appealing ensemble.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_13_true_girlish_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_13_true_girlish_pred_retro_cross_attention_tokens.csv
13,14,dressy,retro,0.09766180068254471,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\dressy\86926332_o1.jpg,"The image features a woman in a dress, standing in front of a white background. She is wearing a pink dress, which is a prominent and eye-catching color. She is also holding a white bouquet, adding a touch of elegance and sophistication to the scene. The combination of her outfit, the white background, and the flowers creates a clean, minimalist, and classic aesthetic. This style is best described as vintage, elegant, and sophisticated.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_14_true_dressy_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_14_true_dressy_pred_retro_cross_attention_tokens.csv
13,15,ethnic,retro,0.09348294138908386,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\ethnic\35e3a4dc3d25d14da61b47e493808e9f.jpg,"In the image, a model wearing a dress and boots is walking on a runway, showcasing her outfit to the audience. The dress appears to be a flowing, multi-colored ensemble with a distinct floral pattern. The boots she is wearing are likely knee-high, adding height and sophistication to her overall look. The model's presence and posture contribute to the fashionable and elegant atmosphere of the scene. This combination of clothing items and accessories highlights the contemporary and stylish nature of her attire.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_15_true_ethnic_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_15_true_ethnic_pred_retro_cross_attention_tokens.csv
13,16,rock,retro,0.09783550351858139,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\rock\cd40579aa1a9349322c3592b0299deef.jpg,"In the image, there is a woman dressed in leather outfit, standing on a tree-lined path surrounded by autumnal leaves. The woman appears to be wearing a black leather jacket, as well as leather pants. She is also wearing a black shirt to complete her look. Her style is a mix of urban and vintage, with a focus on the leather theme. The overall aesthetic of the image conveys a sense of confidence and individuality, as the woman embraces her unique fashion choices.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_16_true_rock_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_16_true_rock_pred_retro_cross_attention_tokens.csv
13,17,lolita,retro,0.09078507870435715,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\lolita\bf6aa6e0-a8aa-41b1-a9db-c67fe2e27e80.jpg,"In the image, a beautiful young woman wearing a pink dress is standing outdoors in front of a bamboo forest. Her dress is elegant and features a ruffle, adding an extra touch of style. The dress itself is pastel pink, enhancing the overall aesthetic.

The scene seems to be set in an Asian-inspired backdrop, with the bamboo trees in the background. The woman's attire, combined with the natural environment, suggests an Asian-inspired look. It could be considered a fusion of traditional and modern fashion.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_17_true_lolita_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_17_true_lolita_pred_retro_cross_attention_tokens.csv
13,18,retro,retro,0.09004590660333633,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\retro\2d7ae77ff821acb264e5cc7ec6752a1a.jpg,"The image features a woman dressed in a retro-style, sitting on a couch and wearing a red hat. She is posing elegantly with a pink polka-dotted dress and a white glove. The couch she is sitting on has a beige color.

The style of this image can be described as classic or vintage, with elements of retro fashion. The woman's attire, including her hat, glove, and polka-dotted dress, all contribute to the overall aesthetic of the scene. The color palette, with its focus on red and pink, adds to the nostalgic and stylish atmosphere.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_18_true_retro_pred_retro_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_18_true_retro_pred_retro_cross_attention_tokens.csv
13,19,natural,mode,0.08814935386180878,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\FashionStyle14_v1\dataset2\natural\e4061-11.jpg,"In the image, a woman wearing glasses is posing for a photo. She is standing against a white wall and appears to be wearing a white shirt. The white shirt is paired with a gray skirt, and she is wearing a pair of black shoes. Additionally, there is a tie visible in the scene, suggesting a touch of formality or a more polished style. The overall aesthetic of the woman's outfit is modern and minimalistic, with a mix of neutral and darker colors. The white shirt and gray skirt create a clean and sophisticated look, while the black shoes and tie add an element of formality and refinement to the ensemble.",C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_19_true_natural_pred_mode_rollout.png,C:\Users\Sandy\OneDrive\桌面\255\FusionStyle\results\explainability\attention_rollout_qwen\cross_attention\seed_13_first10\seed_13_sample_19_true_natural_pred_mode_cross_attention_tokens.csv
